time,value
0.01,380
0.04,362
0.07,351
0.10,339
0.13,339
0.16,334
0.19,331
0.22,337
0.25,342
0.28,348
0.30,368
0.33,379
0.36,393
0.39,402
0.42,422
0.45,426
0.48,431
0.51,429
0.54,431
0.56,425
0.59,413
0.62,409
0.65,392
0.68,376
0.71,361
0.74,353
0.77,339
0.80,337
0.83,332
0.86,329
0.88,341
0.91,340
0.94,353
0.97,360
1.00,380
1.03,393
1.06,402
1.09,412
1.12,426
1.14,433
1.17,428
1.20,433
1.23,421
1.26,421
1.29,400
1.32,393
1.35,375
1.38,363
1.41,349
1.43,343
1.46,337
1.49,331
1.52,332
1.55,337
1.58,344
1.61,354
1.64,366
1.67,385
1.70,392
1.73,406
1.75,419
1.78,424
1.81,435
1.84,432
1.87,427
1.90,420
1.93,412
1.96,403
1.99,392
2.02,377
2.04,364
2.07,350
2.10,343
2.13,333
2.16,329
2.19,331
2.22,331
2.25,343
2.28,350
2.31,367
2.33,383
2.36,390
2.39,403
2.42,425
2.45,430
2.48,436
2.51,434
2.54,433
2.57,427
2.60,419
2.62,399
2.65,394
2.68,375
2.71,363
2.74,349
2.77,345
2.80,334
2.83,332
2.86,333
2.88,333
2.91,345
2.94,349
2.97,369
3.00,376
3.03,396
3.06,408
3.09,423
3.12,423
3.15,433
3.17,433
3.20,429
3.23,425
3.26,416
3.29,407
3.32,390
3.35,372
3.38,364
3.41,352
3.44,343
3.46,334
3.49,334
3.52,333
3.55,332
3.58,346
3.61,355
3.64,364
3.67,381
3.70,393
3.73,412
3.76,416
3.78,428
3.81,435
3.84,437
3.87,428
3.90,428
3.93,413
3.96,405
3.99,390
4.02,371
4.05,363
4.07,353
4.10,342
4.13,332
4.16,338
4.19,331
4.22,341
4.25,343
4.28,354
4.31,361
4.34,383
4.36,391
4.39,407
4.42,419
4.45,429
4.48,429
4.51,432
4.54,429
4.57,428
4.60,409
4.62,405
4.65,387
4.68,376
4.71,360
4.74,353
4.77,339
4.80,338
4.83,333
4.86,330
4.89,340
4.91,343
4.94,352
4.97,363
