time,value
0.01,402
0.04,418
0.07,459
0.10,499
0.13,514
0.16,488
0.19,441
0.22,411
0.25,358
0.28,349
0.30,363
0.33,392
0.36,415
0.39,403
0.42,368
0.45,355
0.48,322
0.51,326
0.54,347
0.56,415
0.59,460
0.62,477
0.65,471
0.68,449
0.71,420
0.74,410
0.77,410
0.80,439
0.83,479
0.86,496
0.88,467
0.91,432
0.94,380
0.97,338
1.00,324
1.03,332
1.06,371
1.09,400
1.12,406
1.14,381
1.17,370
1.20,348
1.23,347
1.26,379
1.29,420
1.32,475
1.35,503
1.38,503
1.41,462
1.43,444
1.46,415
1.49,396
1.52,421
1.55,440
1.58,457
1.61,447
1.64,397
1.67,375
1.70,333
1.73,309
1.75,325
1.78,360
1.81,396
1.84,425
1.87,419
1.90,396
1.93,397
1.96,375
1.99,391
2.02,433
2.04,474
2.07,509
2.10,506
2.13,471
2.16,453
2.19,399
2.22,374
2.25,377
2.28,394
2.31,417
2.33,427
2.36,397
2.39,357
2.42,328
2.45,308
2.48,320
2.51,352
2.54,413
2.57,446
2.60,463
2.62,437
2.65,435
2.68,406
2.71,405
2.74,421
2.77,458
2.80,507
2.83,504
2.86,469
2.88,425
2.91,377
2.94,346
2.97,342
3.00,354
3.03,395
3.06,412
3.09,401
3.12,359
3.15,345
3.17,331
3.20,334
3.23,377
3.26,427
3.29,478
3.32,492
3.35,486
3.38,453
3.41,423
3.44,409
3.46,411
3.49,449
3.52,469
3.55,474
3.58,457
3.61,395
3.64,363
3.67,328
3.70,319
3.73,338
3.76,374
3.78,405
3.81,406
3.84,390
3.87,384
3.90,366
3.93,359
3.96,393
3.99,434
4.02,481
4.05,506
4.07,495
4.10,460
4.13,439
4.16,396
4.19,390
4.22,407
4.25,424
4.28,445
4.31,430
4.34,388
4.36,361
4.39,315
4.42,306
4.45,327
4.48,374
4.51,418
4.54,436
4.57,430
4.60,417
4.62,391
4.65,385
4.68,402
4.71,441
4.74,498
4.77,511
4.80,499
4.83,468
4.86,418
4.89,382
4.91,357
4.94,363
4.97,397
