time,value
0.01,321
0.04,328
0.07,335
0.10,347
0.13,349
0.16,355
0.19,355
0.22,356
0.25,357
0.28,361
0.30,362
0.33,352
0.36,364
0.39,382
0.42,473
0.45,554
0.48,592
0.51,565
0.54,494
0.56,420
0.59,366
0.62,346
0.65,317
0.68,316
0.71,300
0.74,304
0.77,311
0.80,319
0.83,319
0.86,314
0.88,291
0.91,292
0.94,301
0.97,308
1.00,320
1.03,328
1.06,339
1.09,346
1.12,352
1.14,355
1.17,356
1.20,358
1.23,362
1.26,360
1.29,351
1.32,349
1.35,353
1.38,383
1.41,450
1.43,549
1.46,584
1.49,559
1.52,490
1.55,417
1.58,368
1.61,343
1.64,319
1.67,303
1.70,293
1.73,309
1.75,320
1.78,330
1.81,328
1.84,322
1.87,312
1.90,311
1.93,312
1.96,317
1.99,326
2.02,338
2.04,345
2.07,354
2.10,362
2.13,363
2.16,363
2.19,354
2.22,357
2.25,353
2.28,356
2.31,405
2.33,474
2.36,534
2.39,553
2.42,523
2.45,456
2.48,396
2.51,353
2.54,324
2.57,301
2.60,303
2.62,323
2.65,337
2.68,354
2.71,347
2.74,347
2.77,334
2.80,327
2.83,322
2.86,323
2.88,332
2.91,344
2.94,352
2.97,361
3.00,361
3.03,365
3.06,365
3.09,364
3.12,357
3.15,357
3.17,359
3.20,373
3.23,445
3.26,531
3.29,593
3.32,584
3.35,518
3.38,442
3.41,375
3.44,342
3.46,320
3.49,293
3.52,290
3.55,302
3.58,309
3.61,320
3.64,324
3.67,324
3.70,308
3.73,299
3.76,296
3.78,300
3.81,312
3.84,324
3.87,333
3.90,334
3.93,346
3.96,350
3.99,357
4.02,354
4.05,347
4.07,355
4.10,351
4.13,354
4.16,354
4.19,417
4.22,507
4.25,582
4.28,591
4.31,522
4.34,438
4.36,367
4.39,329
4.42,320
4.45,298
4.48,293
4.51,297
4.54,308
4.57,322
4.60,322
4.62,326
4.65,317
4.68,313
4.71,317
4.74,323
4.77,337
4.80,345
4.83,352
4.86,359
4.89,371
4.91,375
4.94,365
4.97,362
